Service Code;Service Name;Role;Region;2024 Q1;2024 Q2;2024 Q3;2024 Q4;2025 Q1;2025 Q2;2025 Q3;2025 Q4;2026 Q1;2026 Q2;2026 Q3;2026 Q4;Info
ALL;ALL;CLIA; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
ALL;ALL;CLIA; ;36.1;35.3;36.0;36.7;37.5;37.5;37.5;37.5;37.5;37.5;37.5;37.5;Total In-House Workforce - FTEs with TOPs
ALL;ALL;CLIA; ;-4.3;-9.0;-9.9;-5.0;-23.8;-17.9;-19.9;-23.2;-16.6;-21.6;-26.9;-29.5;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
ALL;ALL;CLIA; ;1.9;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
ALL;ALL;CLIA; ;89.4;79.7;78.4;88.0;61.2;67.7;65.3;61.8;69.3;63.5;58.2;56.0;In House Coverage % with TOPS
ALL;ALL;COD; ;12.5;11.5;14.2;14.2;11.9;12.3;12.6;12.4;12.1;12.0;13.2;13.6;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
ALL;ALL;COD; ;4.0;3.7;4.2;4.5;4.5;4.5;4.5;4.5;4.5;4.5;4.5;4.5;Registered Headcount - FTEs
ALL;ALL;COD; ;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
ALL;ALL;COD; ;3.0;3.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
ALL;ALL;COD; ;9.0;8.7;7.2;7.5;4.5;4.5;4.5;4.5;4.5;4.5;4.5;4.5;Total In-House Workforce - FTEs
ALL;ALL;COD; ;-3.5;-2.8;-7.0;-6.7;-7.4;-7.8;-8.1;-7.9;-7.6;-7.5;-8.7;-9.1;Gap In-House - FTEs (Workforce vs Workload)
ALL;ALL;COD; ;55.6;57.5;41.7;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility %
ALL;ALL;COD; ;72.0;75.7;50.7;52.8;37.8;36.6;35.7;36.3;37.2;37.5;34.1;33.1;In House Coverage %
ALL;ALL;COD; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
ALL;ALL;COD; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
ALL;ALL;COD; ;9.0;8.7;7.2;7.5;4.5;4.5;4.5;4.5;4.5;4.5;4.5;4.5;Total In-House Workforce - FTEs with TOPs
ALL;ALL;COD; ;-3.5;-2.8;-7.0;-6.7;-7.4;-7.8;-8.1;-7.9;-7.6;-7.5;-8.7;-9.1;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
ALL;ALL;COD; ;55.6;57.5;41.7;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
ALL;ALL;COD; ;72.0;75.7;50.7;52.8;37.8;36.6;35.7;36.3;37.2;37.5;34.1;33.1;In House Coverage % with TOPS
ALL;ALL;CPQM; ;35.7;36.6;37.8;39.3;38.4;37.8;38.5;37.1;36.4;35.0;34.4;32.9;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
ALL;ALL;CPQM; ;20.9;24.8;26.1;26.1;26.1;26.1;26.1;26.1;26.1;26.1;26.1;26.1;Registered Headcount - FTEs
ALL;ALL;CPQM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
ALL;ALL;CPQM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
ALL;ALL;CPQM; ;20.9;24.8;26.1;26.1;26.1;26.1;26.1;26.1;26.1;26.1;26.1;26.1;Total In-House Workforce - FTEs
ALL;ALL;CPQM; ;-14.8;-11.8;-11.7;-13.2;-12.3;-11.7;-12.4;-11.0;-10.3;-8.9;-8.3;-6.8;Gap In-House - FTEs (Workforce vs Workload)
ALL;ALL;CPQM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility %
ALL;ALL;CPQM; ;58.5;67.8;69.0;66.4;68.0;69.0;67.8;70.4;71.7;74.6;75.9;79.3;In House Coverage %
ALL;ALL;CPQM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
ALL;ALL;CPQM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
ALL;ALL;CPQM; ;20.9;24.8;26.1;26.1;26.1;26.1;26.1;26.1;26.1;26.1;26.1;26.1;Total In-House Workforce - FTEs with TOPs
ALL;ALL;CPQM; ;-14.8;-11.8;-11.7;-13.2;-12.3;-11.7;-12.4;-11.0;-10.3;-8.9;-8.3;-6.8;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
ALL;ALL;CPQM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
ALL;ALL;CPQM; ;58.5;67.8;69.0;66.4;68.0;69.0;67.8;70.4;71.7;74.6;75.9;79.3;In House Coverage % with TOPS
ALL;ALL;CSSM; ;136.8;133.2;127.8;129.1;124.8;118.8;116.4;113.2;108.7;106.5;105.6;102.5;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
ALL;ALL;CSSM; ;39.6;39.7;40.2;40.2;40.2;40.2;40.2;40.2;40.2;40.2;40.2;40.2;Registered Headcount - FTEs
ALL;ALL;CSSM; ;73.0;76.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
ALL;ALL;CSSM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
ALL;ALL;CSSM; ;112.6;116.4;40.2;40.2;40.2;40.2;40.2;40.2;40.2;40.2;40.2;40.2;Total In-House Workforce - FTEs
ALL;ALL;CSSM; ;-24.2;-16.8;-87.6;-88.9;-84.6;-78.6;-76.2;-73.0;-68.5;-66.3;-65.4;-62.3;Gap In-House - FTEs (Workforce vs Workload)
ALL;ALL;CSSM; ;64.8;65.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility %
ALL;ALL;CSSM; ;82.3;87.4;31.5;31.1;32.2;33.8;34.5;35.5;37.0;37.7;38.1;39.2;In House Coverage %
ALL;ALL;CSSM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
ALL;ALL;CSSM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
ALL;ALL;CSSM; ;112.6;116.4;40.2;40.2;40.2;40.2;40.2;40.2;40.2;40.2;40.2;40.2;Total In-House Workforce - FTEs with TOPs
ALL;ALL;CSSM; ;-24.2;-16.8;-87.6;-88.9;-84.6;-78.6;-76.2;-73.0;-68.5;-66.3;-65.4;-62.3;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
ALL;ALL;CSSM; ;64.8;65.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
ALL;ALL;CSSM; ;82.3;87.4;31.5;31.1;32.2;33.8;34.5;35.5;37.0;37.7;38.1;39.2;In House Coverage % with TOPS
ALL;ALL;CSSS; ;22.0;21.5;20.7;21.1;30.2;29.7;29.7;29.5;20.4;20.4;19.8;19.6;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
ALL;ALL;CSSS; ;4.6;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;Registered Headcount - FTEs
ALL;ALL;CSSS; ;13.2;13.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
ALL;ALL;CSSS; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
ALL;ALL;CSSS; ;17.8;18.5;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;Total In-House Workforce - FTEs
ALL;ALL;CSSS; ;-4.2;-3.0;-16.0;-16.4;-25.5;-25.0;-25.0;-24.8;-15.7;-15.7;-15.1;-14.9;Gap In-House - FTEs (Workforce vs Workload)
ALL;ALL;CSSS; ;74.2;74.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility %
ALL;ALL;CSSS; ;80.9;86.0;22.7;22.3;15.6;15.8;15.8;15.9;23.0;23.0;23.7;24.0;In House Coverage %
ALL;ALL;CSSS; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
ALL;ALL;CSSS; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
ALL;ALL;CSSS; ;17.8;18.5;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;Total In-House Workforce - FTEs with TOPs
ALL;ALL;CSSS; ;-4.2;-3.0;-16.0;-16.4;-25.5;-25.0;-25.0;-24.8;-15.7;-15.7;-15.1;-14.9;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
ALL;ALL;CSSS; ;74.2;74.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
ALL;ALL;CSSS; ;80.9;86.0;22.7;22.3;15.6;15.8;15.8;15.9;23.0;23.0;23.7;24.0;In House Coverage % with TOPS
ALL;ALL;CTAM; ;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
ALL;ALL;CTAM; ;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;Registered Headcount - FTEs
ALL;ALL;CTAM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
ALL;ALL;CTAM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
ALL;ALL;CTAM; ;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;Total In-House Workforce - FTEs
ALL;ALL;CTAM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Gap In-House - FTEs (Workforce vs Workload)
ALL;ALL;CTAM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility %
ALL;ALL;CTAM; ;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;In House Coverage %
ALL;ALL;CTAM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
ALL;ALL;CTAM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
ALL;ALL;CTAM; ;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;3.6;Total In-House Workforce - FTEs with TOPs
ALL;ALL;CTAM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
ALL;ALL;CTAM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
ALL;ALL;CTAM; ;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;In House Coverage % with TOPS
ALL;ALL;CTDM; ;62.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
ALL;ALL;CTDM; ;11.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Registered Headcount - FTEs
ALL;ALL;CTDM; ;42.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
ALL;ALL;CTDM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
ALL;ALL;CTDM; ;54.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total In-House Workforce - FTEs
ALL;ALL;CTDM; ;-8.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Gap In-House - FTEs (Workforce vs Workload)
ALL;ALL;CTDM; ;78.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility %
ALL;ALL;CTDM; ;86.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;In House Coverage %
ALL;ALL;CTDM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
ALL;ALL;CTDM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
ALL;ALL;CTDM; ;54.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Total In-House Workforce - FTEs with TOPs
ALL;ALL;CTDM; ;-8.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
ALL;ALL;CTDM; ;78.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
ALL;ALL;CTDM; ;86.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;In House Coverage % with TOPS
ALL;ALL;CTM; ;399.8;393.5;400.9;414.0;373.2;372.4;362.4;348.5;314.9;313.3;314.3;302.3;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
ALL;ALL;CTM; ;167.4;165.4;165.9;169.0;173.7;174.8;175.0;175.0;175.0;175.0;175.0;175.0;Registered Headcount - FTEs
ALL;ALL;CTM; ;189.9;193.6;133.0;130.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
ALL;ALL;CTM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
ALL;ALL;CTM; ;357.3;359.0;298.9;299.4;173.7;174.8;175.0;175.0;175.0;175.0;175.0;175.0;Total In-House Workforce - FTEs
ALL;ALL;CTM; ;-42.5;-34.5;-102.0;-114.6;-199.5;-197.6;-187.4;-173.5;-139.9;-138.3;-139.3;-127.3;Gap In-House - FTEs (Workforce vs Workload)
ALL;ALL;CTM; ;53.1;53.9;44.5;43.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility %
ALL;ALL;CTM; ;89.4;91.2;74.6;72.3;46.5;46.9;48.3;50.2;55.6;55.9;55.7;57.9;In House Coverage %
ALL;ALL;CTM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
ALL;ALL;CTM; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
ALL;ALL;CTM; ;357.3;359.0;298.9;299.4;173.7;174.8;175.0;175.0;175.0;175.0;175.0;175.0;Total In-House Workforce - FTEs with TOPs
ALL;ALL;CTM; ;-42.5;-34.5;-102.0;-114.6;-199.5;-197.6;-187.4;-173.5;-139.9;-138.3;-139.3;-127.3;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
ALL;ALL;CTM; ;53.1;53.9;44.5;43.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
ALL;ALL;CTM; ;89.4;91.2;74.6;72.3;46.5;46.9;48.3;50.2;55.6;55.9;55.7;57.9;In House Coverage % with TOPS
ALL;ALL;DAC; ;13.0;12.8;13.4;12.9;13.3;14.4;14.5;14.2;14.0;14.2;14.6;14.5;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
ALL;ALL;DAC; ;2.8;3.0;3.0;3.0;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;Registered Headcount - FTEs
ALL;ALL;DAC; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
ALL;ALL;DAC; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
ALL;ALL;DAC; ;2.8;3.0;3.0;3.0;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;Total In-House Workforce - FTEs
ALL;ALL;DAC; ;-10.2;-9.8;-10.4;-9.9;-9.4;-10.5;-10.6;-10.3;-10.1;-10.3;-10.7;-10.6;Gap In-House - FTEs (Workforce vs Workload)
ALL;ALL;DAC; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility %
ALL;ALL;DAC; ;21.5;23.4;22.4;23.3;29.3;27.1;26.9;27.5;27.9;27.5;26.7;26.9;In House Coverage %
ALL;ALL;DAC; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
ALL;ALL;DAC; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
ALL;ALL;DAC; ;2.8;3.0;3.0;3.0;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;Total In-House Workforce - FTEs with TOPs
ALL;ALL;DAC; ;-10.2;-9.8;-10.4;-9.9;-9.4;-10.5;-10.6;-10.3;-10.1;-10.3;-10.7;-10.6;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
ALL;ALL;DAC; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
ALL;ALL;DAC; ;21.5;23.4;22.4;23.3;29.3;27.1;26.9;27.5;27.9;27.5;26.7;26.9;In House Coverage % with TOPS
ALL;ALL;DBD; ;44.8;54.2;61.3;56.5;53.6;58.1;54.7;48.0;51.7;53.2;51.2;50.1;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
ALL;ALL;DBD; ;10.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;Registered Headcount - FTEs
ALL;ALL;DBD; ;11.9;11.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
ALL;ALL;DBD; ;16.2;15.4;15.5;16.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
ALL;ALL;DBD; ;38.8;36.1;29.2;29.9;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;Total In-House Workforce - FTEs
ALL;ALL;DBD; ;-6.0;-18.1;-32.1;-26.6;-43.9;-48.4;-45.0;-38.3;-42.0;-43.5;-41.5;-40.4;Gap In-House - FTEs (Workforce vs Workload)
ALL;ALL;DBD; ;72.4;73.1;66.8;67.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility %
ALL;ALL;DBD; ;86.6;66.6;47.6;52.9;18.1;16.7;17.7;20.2;18.8;18.2;18.9;19.4;In House Coverage %
ALL;ALL;DBD; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
ALL;ALL;DBD; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
ALL;ALL;DBD; ;38.8;36.1;29.2;29.9;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;Total In-House Workforce - FTEs with TOPs
ALL;ALL;DBD; ;-6.0;-18.1;-32.1;-26.6;-43.9;-48.4;-45.0;-38.3;-42.0;-43.5;-41.5;-40.4;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
ALL;ALL;DBD; ;72.4;73.1;66.8;67.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
ALL;ALL;DBD; ;86.6;66.6;47.6;52.9;18.1;16.7;17.7;20.2;18.8;18.2;18.9;19.4;In House Coverage % with TOPS
ALL;ALL;DIST; ;46.7;48.3;46.2;46.1;35.7;33.5;33.0;31.5;32.0;29.8;28.5;29.6;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
ALL;ALL;DIST; ;23.3;22.7;24.6;25.1;25.1;25.1;25.1;25.1;25.1;25.1;25.1;25.1;Registered Headcount - FTEs
ALL;ALL;DIST; ;0.1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
ALL;ALL;DIST; ;15.1;15.2;7.1;3.6;1.4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
ALL;ALL;DIST; ;38.5;38.9;32.7;29.7;27.5;27.1;27.1;25.1;25.1;25.1;25.1;25.1;Total In-House Workforce - FTEs
ALL;ALL;DIST; ;-8.2;-9.4;-13.5;-16.4;-8.2;-6.4;-5.9;-6.4;-6.9;-4.7;-3.4;-4.5;Gap In-House - FTEs (Workforce vs Workload)
ALL;ALL;DIST; ;39.5;41.6;24.8;15.5;8.7;7.4;7.4;0.0;0.0;0.0;0.0;0.0;Flexibility %
ALL;ALL;DIST; ;82.4;80.5;70.8;64.4;77.0;80.9;82.1;79.7;78.4;84.2;88.1;84.8;In House Coverage %
ALL;ALL;DIST; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A TOPs
ALL;ALL;DIST; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 TOPs
ALL;ALL;DIST; ;38.5;38.9;32.7;29.7;27.5;27.1;27.1;25.1;25.1;25.1;25.1;25.1;Total In-House Workforce - FTEs with TOPs
ALL;ALL;DIST; ;-8.2;-9.4;-13.5;-16.4;-8.2;-6.4;-5.9;-6.4;-6.9;-4.7;-3.4;-4.5;Gap In-House - FTEs  (Workforce vs Workload) with TOPS
ALL;ALL;DIST; ;39.5;41.6;24.8;15.5;8.7;7.4;7.4;0.0;0.0;0.0;0.0;0.0;Flexibility % with TOPS
ALL;ALL;DIST; ;82.4;80.5;70.8;64.4;77.0;80.9;82.1;79.7;78.4;84.2;88.1;84.8;In House Coverage % with TOPS
ALL;ALL;DMP; ;43.0;44.0;44.5;44.7;48.5;49.5;47.7;47.2;44.4;42.6;44.9;47.8;In-House Workload - Total FTEs - after PRP & Approved+Not Approved
ALL;ALL;DMP; ;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;Registered Headcount - FTEs
ALL;ALL;DMP; ;21.3;21.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110A - Committed - FTEs
ALL;ALL;DMP; ;12.3;13.1;13.5;13.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;AD10 - Committed - FTEs
ALL;ALL;DMP; ;39.5;40.0;23.4;23.4;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;Total In-House Workforce - FTEs
ALL;ALL;DMP; ;-3.5;-4.0;-21.1;-21.3;-42.6;-43.6;-41.8;-41.3;-38.5;-36.7;-39.0;-41.9;Gap In-House - FTEs (Workforce vs Workload)
